Symbol,IssuerName,Sector,Industry,IPO
LUV,Southwest Airlines Company,Transportation,Air Freight/Delivery Services,n/a
SWX,"Southwest Gas Holdings, Inc.",Public Utilities,Oil & Gas Production,n/a
SWN,Southwestern Energy Company,Energy,Oil & Gas Production,n/a
SWNC,Southwestern Energy Company,Energy,Oil & Gas Production,2015
SPA,Sparton Corporation,Technology,Electrical Products,n/a
SPE,Special Opportunities Fund Inc.,n/a,n/a,n/a
SPE^B,Special Opportunities Fund Inc.,n/a,n/a,n/a
SEP,"Spectra Energy Partners, LP",Public Utilities,Natural Gas Distribution,2007
SPB           ,"Spectrum Brands Holdings, Inc.",Miscellaneous,Industrial Machinery/Components,n/a
TRK,"Speedway Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,1995
SR,Spire Inc.,Public Utilities,Oil/Gas Transmission,n/a
SPR,"Spirit Aerosystems Holdings, Inc.",Capital Goods,Military/Government/Technical,2006
SRC,"Spirit Realty Capital, Inc.",Consumer Services,Building operators,2013
SRLP,Sprague Resources LP,Energy,Oil Refining/Marketing,2013
S,Sprint Corporation,Public Utilities,Telecommunications Equipment,2013
SPXC,SPX Corporation,Technology,Industrial Machinery/Components,n/a
FLOW,"SPX FLOW, Inc.",Technology,Industrial Machinery/Components,2015
SQ,"Square, Inc.",Technology,Computer Software: Prepackaged Software,2015
JOE,St. Joe Company (The),Consumer Services,Homebuilding,n/a
STAG,"Stag Industrial, Inc.",Consumer Services,Real Estate Investment Trusts,2011
STAG^B,"Stag Industrial, Inc.",n/a,n/a,n/a
STAG^C,"Stag Industrial, Inc.",n/a,n/a,n/a
SSI,"Stage Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,n/a
SMP,"Standard Motor Products, Inc.",Capital Goods,Auto Parts:O.E.M.,n/a
SXI,Standex International Corporation,Technology,Industrial Machinery/Components,n/a
SWJ,"Stanley Black & Decker, Inc.",Capital Goods,Industrial Machinery/Components,n/a
SWK,"Stanley Black & Decker, Inc.",Capital Goods,Industrial Machinery/Components,n/a
SWP,"Stanley Black & Decker, Inc.",Capital Goods,Industrial Machinery/Components,n/a
STN,Stantec Inc,Consumer Services,Military/Government/Technical,n/a
SGU,"Star Gas Partners, L.P.",Consumer Services,Other Specialty Stores,n/a
SRT,"StarTek, Inc.",Technology,Professional Services,1997
STWD,"STARWOOD PROPERTY TRUST, INC.",Consumer Services,Real Estate Investment Trusts,2009
SFR,Starwood Waypoint Homes,Consumer Services,Real Estate Investment Trusts,2014
STT,State Street Corporation,Finance,Major Banks,n/a
STT^C,State Street Corporation,n/a,n/a,n/a
STT^D,State Street Corporation,n/a,n/a,n/a
STT^E,State Street Corporation,n/a,n/a,n/a
STT^G,State Street Corporation,n/a,n/a,n/a
STO,Statoil ASA,Energy,Integrated oil Companies,n/a
SPLP,Steel Partners Holdings LP,Capital Goods,Industrial Specialties,n/a
SPLP^A,Steel Partners Holdings LP,n/a,n/a,n/a
